event_date,actor1,assoc_actor_1,actor2,assoc_actor_2,fatalities,interaction,admin1,admin2,latitude,longitude,notes
2021-06-16,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.0854,35.3301,"On 16 June 2021, dozens of Israeli settler rioters from the settlement of Esh Kodesh, burned a Palestinian-owned vehicle and damaged 4 others while also trying to assault Palestinian houses in the southern part of the village of Qusra (Nablus). Palestinian civilians then confronted them [presumably verbally] and forced them to leave."
2021-06-16,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Women (Palestine),0.0,Rioters-Civilians,West Bank,Al Quds,31.7929,35.2317,"On 16 June 2021, an Israeli settler assaulted a prominent female Palestinian activist by spraying paint on her face before she was arrested by Israeli police officers in the neighborhood of Al Quds - Shaykh Jarrah (Al Quds)."
2021-06-18,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.2211,35.2544,"On 18 June 2021, Israeli settler rioters snuck from the abandoned Homesh settlement and hurled stones towards Palestinian civilians passing by in their vehicles on the main road linking Jenin and Nablus north of Nablus (Nablus). A number of vehicles were damaged."
2021-06-19,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.2533,35.1889,"On 19 June 2021, an Israeli settler opened live fire towards Palestinians and Palestinian-owned shops at a junction in Dayr Sharaf (Nablus). The Israeli settler escaped. No injuries occurred."
2021-06-20,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Al Quds,31.7767,35.2342,"On 20 June 2021, a group of Israeli settlers attacked [physically] a Palestinian child in the neighborhood of Saadiya in Al Quds - Old City (AL Quds). The child was admitted to a nearby hospital for treatment."
2021-06-21,Settlers (Israel),,Civilians (Palestine),Police Forces of Palestine (1994-) West Bank,1.0,Political militia-Civilians,West Bank,Nablus,32.2533,35.1889,"On 21 June 2021, Israeli settlers, likely from Homesh settlement, shot and hurled rocks at the vehicle of a Palestinian National Security officer's car in Dayr Sharaf (Nablus, West Bank), killing him."
2021-06-21,Settlers (Israel),,Civilians (Palestine),Police Forces of Palestine (1994-) West Bank,1.0,Political militia-Civilians,West Bank,Nablus,32.2533,35.1889,"On 21 June 2021, Israeli settlers, likely from Homesh settlement, shot and hurled rocks at the vehicle of a Palestinian National Security officer's car in Dayr Sharaf (Nablus, West Bank), killing him."
2021-06-25,Settlers (Israel),Military Forces of Israel (2021-2022),Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Salfit,32.0837,35.1808,"Property destruction: On 25 June 2021, Israeli settlers under the protection of Israeli soldiers burned dozens of Palestinian-owned fig and olive trees in the area of Ra'as west of Salfit (Salfit) which is threatened with confiscation. Townspeople and the civil defense were able to extinguish the flames."
2021-06-26,Settlers (Israel),Military Forces of Israel (2021-2022),Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Ramallah and Al Bireh,32.0354,35.2856,"Property destruction: On 26 June 2021, a groups of Israeli settlers burned several Palestinian tents in agricultural lands in the village of Turmus Ayya (Ramallah and Al Bireh). Israeli soldiers fired stun grenades towards civilians who went out to confront [presumably verbally] the settlers."
2021-06-26,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.1471,35.2451,"On 26 June 2021, a group of Israeli settlers from the Yitzhar settlement attacked [presumably by hurling stones] Palestinian homes in the village of Aynabus (Nablus). Townspeople confronted the settlers [presumably verbally]."
2021-06-26,Settlers (Israel),Military Forces of Israel (2021-2022),Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.4127,35.1538,"On 26 June 2021, dozens of Israeli settlers from the Havat Ma'on settlement, under the protection of Israeli military forces opened live fire and hurled stones towards Palestinian houses, and burned 2 housing tents in the town of At Tuwani (Hebron). Townspeople went out to confront the Israeli settlers [presumably verbally]. A Palestinian was injured with a concussion."
2021-06-27,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.0563,35.3671,"On 27 June 2021, armed Israeli settlers from the Shilo settlement opened fire towards a Palestinian civilian bypassing in his vehicle near the town of Duma (Nablus). His car's windshields were broken. No injuries occurred."
2021-06-27,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Al Quds,31.7929,35.2317,"On 27 June 2021, an Israeli settler was walking around when he suddenly started pepper spraying Palestinian civilians in the neighborhood of Al Quds - Shaykh Jarrah (Al Quds). Israeli police forces intervened to keep the settler away."
2021-06-27,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Tubas,32.3404,35.396,"On 27 June 2021, a group of Israeli settler rioters assaulted [physically] 3 Palestinians east of the village of Tayasir (Tubas). They were injured with concussions and were taken to a nearby hospital for treatment."
2021-06-29,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Bethlehem,31.6108,35.2245,"Land seizure: On 29 June 2021, Israeli settlers set up 20 mobile caravans used for housing near the settlement of Ibei Hanahal on the lands of the village of Kisan (Bethlehem) in an attempt to seize the lands."
2021-06-29,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Salfit,32.1227,35.2569,"On 29 June 2021, Israeli settler rioters hurled stones towards bypassing Palestinians in their vehicles at the main junction of Zatarah (Salfit)."
2021-06-30,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Ramallah and Al Bireh,31.9322,35.0442,"On 30 June 2021, Israeli settler rioters severely beat up a Palestinian civilian in Modiin Ilit (Ramallah and Al Bireh). He was injured with bruises."
2021-07-02,Settlers (Israel),Military Forces of Israel (2021-2022),Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Al Quds,31.7684,35.2381,"Land seizure: On 2 July 2021, around 20 Israeli settlers seized a Palestinian-owned residential building in the Wadi Hilweh neighborhood in the town of Al Quds - Silwan (Al Quds). Dozens of Israeli undercover soldiers alongside the settlers raided the neighborhood and seized the building."
2021-07-02,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.397,35.1762,"On 2 July 2021, armed Israeli settlers attacked Palestinian civilians with stones and clubs in the area of Maghayir al Abeed (Hebron). 2 Palestinians were critically injured and transported to a nearby hospital for treatment. Israeli settlers also uprooted water pipes during the attack."
2021-07-04,Settlers (Israel),Military Forces of Israel (2021-2022),Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Nablus,32.0668,35.3166,"Property destruction: On 4 July 2021, Israeli settlers from the Esh Kodesh settlement burned large plots of Palestinian-owned lands in the town of Jalud (Nablus). As a result, several olive trees and hay was burned. Israeli soldiers also prevented Palestinian civilians from putting out the fires."
2021-07-05,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.0668,35.3166,"On 5 July 2021, Israeli settlers presumably from the Shvut Rachel settlement burned large plots of Palestinian-owned lands in the western area of the town of Jalud (Nablus). Palestinian civilians extinguished the fires before they reached a school. This marks the second day in a row where Israeli settlers burn Palestinian-owned lands in the town."
2021-07-05,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Hebron,31.623,35.1371,"On 5 July 2021, Israeli settler rioters likely hurled stones towards a Palestinian passenger bus traveling near Bayt Baraka near Mukhayyam al Arrub (Hebron)."
2021-07-05,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Bethlehem,31.7049,35.2038,"On 5 July 2021, an Israeli settler ran over a Palestinian worker near the checkpoint 300 north of Bethlehem (Bethlehem). The attack is assumed to have been deliberate."
2021-07-06,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Bethlehem,31.6742,35.0772,"Land seizure: On 6 July 2021, Israeli settlers from Bat Ayin settlement erected fences on Palestinian-owned lands in Wadi Khanzir of the village of Al Jabah (Bethlehem) in an attempt to expand their settlement."
2021-07-06,Settlers (Israel),,Civilians (Palestine),Women (Palestine),0.0,Political militia-Civilians,West Bank,Hebron,31.5294,35.0938,"On 6 July 2021, an Israeli settler ran over a Palestinian woman with his car near Al Haram al Ibrahimi in the city of Hebron (Hebron). The woman was transported to a nearby hospital for treatment and is in stable condition. The attack is assumed to have been deliberate."
2021-07-06,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Ramallah and Al Bireh,31.9884,35.3093,"On 6 July 2021, Israeli settlers opened fire towards Palestinian shepherds near the outpost east of Kafr Malik (Ramallah and Al Bireh). There were no fatalities."
2021-07-06,Settlers (Israel),Haredi Jewish Group (Israel),Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Bethlehem,31.701,35.112,"On 6 July 2021, an Israeli settler ran over a Palestinian civilian with his car at the entrance of the Haredi settlement Baytar Illit (Bethlehem), causing him bruises and contusions. The attack is assumed to have been deliberate."
2021-07-08,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.0668,35.3166,"Land seizure: On 8 July 2021, Israeli settlers seized 20 dunums of Palestinian-owned lands in the town of Jalud (Nablus) and razed the lands."
2021-07-09,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Hebron,31.5294,35.0938,"On 9 July 2021, Israeli settlers attacked Palestinians with pepper spray in Wadi Al Hussein/Hayy Jabr close to the Cave of the Patriarchs/Ibrahimi Sanctuary in Hebron city (Hebron, West Bank). Several Palestinians were injured including children."
2021-07-10,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Farmers (Palestine),0.0,Rioters-Civilians,West Bank,Hebron,31.4459,35.0944,"On 10 July 2021, Israeli settlers from the Maon and Havat Maon settlements under the protection of Israeli soldiers, hurled stones towards a young Palestinian shepherd in Masafer Yuta (Hebron). He was injured with contusions."
2021-07-11,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.0565,35.3069,"On 11 July 2021, Israeli settlers from the Ahiya settlement destroyed an electric pole that provides electricity to the area of Khirbat Sarrah (Nablus). As a result, several other electric poles are threatened with completely falling off and causing power outages."
2021-07-11,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Farmers (Palestine),0.0,Rioters-Civilians,West Bank,Hebron,31.4133,35.1639,"On 11 July 2021, Israeli settlers threw stones at Palestinian shepherds near the settlement of Maon (Hebron, West Bank), forcing them to flea. There were no injuries."
2021-07-12,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.0668,35.3166,"Land seizure: On 12 July 2021, Israeli settlers set up 7 mobile homes in the vicinity of Shvut Rachel settlement on Palestinian-owned lands in Jalud (Nablus) in an attempt to seize them and expand the settlement."
2021-07-14,Settlers (Israel),,Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Nablus,32.1859,35.2311,"On 14 July 2021, Israeli settlers from Yitzhar opened fire towards a Palestinian shepherd in Madama (Nablus) injuring him in the thigh. He was transported to a nearby hospital for treatment."
2021-07-15,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.0668,35.3166,"Land seizure: On 15 July 2021, Israeli settlers continued setting up several more mobile homes on Palestinian-owned lands near Jalud (Nablus), in an attempt to seize them and expand the Shvut Rachel settlement."
2021-07-16,Settlers (Israel),,Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Tubas,32.3805,35.5083,"Property destruction: On 16 July 2021, Israeli settlers presumably from the Mikhula settlement razed plots of Palestinian-owned agricultural lands near Ayn al Bayda (Tubas), and placed olive trees on them."
2021-07-21,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Ramallah and Al Bireh,32.0354,35.2856,"On 21 July 2021, a group of Israeli settlers from the Shilo settlement threw stones towards a passing car belonging to Palestinians at a road near Turmus Ayya village (Ramallah and Al Bireh), which caused material damage to the car, and injured 2 Palestinians, who were then transferred to a hospital."
2021-07-21,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.193,35.3713,"Land seizure: On 21 July 2021, settler bulldozers erected settlement roads into Palestinian-owned lands in the east of Bayt Dajan village (Nablus) after razing lands. This ongoing project aims to expand Israeli outposts near the village by constructing a network of roads."
2021-07-21,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Ramallah and Al Bireh,31.9467,35.0217,"Land seizure: On 21 July 2021, Israeli settler bulldozers continued constructing a settlement road into Palestinian seized lands in Jabal el-Alam area near Nilin village, west of (Ramallah and Al Bireh)."
2021-07-21,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Farmers (Palestine),0.0,Rioters-Civilians,West Bank,Tubas,32.3243,35.5025,"On 21 July 2021, Israeli settlers threw stones at cows belonging to Palestinian farmers in Ain al Hilwah spring (Tubas) and prevented the farmers from giving water to their cows."
2021-07-22,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Labor Group (Palestine),0.0,Rioters-Civilians,West Bank,Nablus,32.1316,35.204,"On 22 July 2021, three settlers lit on fire a Palestinians-owned factory in Jammain (Nablus). They fled from the area via a vehicle before they were tracked and followed by Palestinians."
2021-07-24,Settlers (Israel),,Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Tubas,32.3404,35.396,"Land seizure: On 24 July 2021, a group of Israeli settlers consisting of five families inhabited a Palestinian-owned farm on the outskirts of Tayasir in (Tubas) and brought their furniture and belongings to establish a new outpost. Israeli soldiers previously used the land as a military spot before being evacuated a few years ago."
2021-07-25,Settlers (Israel),Military Forces of Israel (2021-2022),Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.491,35.1467,"Land seizure: On 25 July 2021, a group of Israeli settlers under the protection of Israeli soldiers seized Palestinian-owned lands in Birin village (Hebron) to establish a new outpost in the area."
2021-07-25,Settlers (Israel),,Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Tubas,32.3243,35.5025,"Land seizure: On 25 July 2021, Israeli settlers fenced off a Palestinian-owned spring at Ain al Hilwah in the northern Jordan Valley (Tubas) and prevented farmers from watering their cattle. On 26 July, Israeli settlers began construction works at a spring site in Ain al Hilwah and brought construction materials to the site."
2021-07-28,Settlers (Israel),,Civilians (Palestine),Women (Palestine),0.0,Political militia-Civilians,West Bank,Al Quds,31.7684,35.2381,"Land seizure: On 28 July 2021, Israeli settlers seized a Palestinian-owned house belonging to a woman in Al Quds - Silwan (Al Quds)."
2021-07-30,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.1845,35.2502,"On 30 July 2021, Israeli settlers cut down 6 telephone poles providing phone service to a Palestinian house in Burin village (Nablus)."
2021-07-31,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.1769,35.3354,"On 31 July 2021, an armed Israeli settler stopped a Palestinian-owned car near Bayt Furik military checkpoint in Bayt Furik (Nablus) and physically assaulted the car's passengers. Casualties unknown."
2021-07-31,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Hebron,31.5755,35.0122,"On 31 July 2021, a group of Israeli setters [presumably] physically assaulted Palestinians in el Taybeh area in Tarqumya town (Hebron)."
2021-08-01,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Tubas,32.2403,35.4961,"Property destruction: On 1 August 2021, Israeli settlers' vehicles razed Palestinian-owned lands in Al Hadidiyah village (Tubas) in a prelude to seize them."
2021-08-01,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Jericho,31.9079,35.4155,"Land seizure: Around 1 August 2021 (as reported), Israeli settlers established the Mevo'ot Yeriho Farm outpost (Jericho, West Bank) on Palestinian-owned land."
2021-08-01,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Salfit,32.15,35.1167,"Land seizure: Around 1 August 2021 (as reported), Israeli settlers established the Karnei Re'em outpost on Palestinian-owned land near Yaqqir settlement (Salfit, West Bank)."
2021-08-02,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Bethlehem,31.6108,35.2245,"Property destruction: On 2 August 2021, Israeli settlers from Ibei Hanahal settlement constructed a new road through Palestinian-owned lands in the village of Kisan (Bethlehem) to expand their settlement."
2021-08-02,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Al Quds,31.7929,35.2317,"On 2 August 2021, an Israeli settler gunned down a Palestinian in Al Quds - Shaykh Jarrah (Al Quds) who sustained minor injuries in his foot. The incident occurred after a protest conducted in the neighborhood."
2021-08-02,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Farmers (Palestine),0.0,Rioters-Civilians,West Bank,Nablus,32.1845,35.2502,"On 2 August 2021, a group of Israeli settlers from Bracha settlement entered a Palestinian-owned agricultural land in Burin village (Nablus) and tried to assault a Palestinian who sustained fractures during the chase."
2021-08-06,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Salfit,32.1183,35.1572,"On 6 August 2021, a group of Israeli settlers physically assaulted a Palestinian man in an area between the villages of Kifil Haris and Haris in Salif. The Palestinian sustained bruises and was transferred to a hospital for treatment."
2021-08-07,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Farmers (Palestine),0.0,Rioters-Civilians,West Bank,Jenin,32.374,35.1545,"On 7 August 2021, a group of Israeli settlers from the settlement of Mevo Dotan physically assaulted a Palestinian who existed in his agricultural lands at Abu Al-Shwareb mountain in Kafr Raai village, south of Jenin (Jenin)."
2021-08-07,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Ramallah and Al Bireh,31.9111,35.2666,"On 7 August 2021, a group of Israeli settlers from the settlement of Ofer physically assaulted 5 Palestinians (Palestinian man and 4 of his sons) in Dayr Dibwan town (Ramallah and Al Bireh), they sustained bruises and were transferred to a hospital for treatment."
2021-08-08,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.193,35.3713,"On 8 August 2021, a group of Israeli settlers physically assaulted a Palestinian in the village of Bayt Dajan (Nablus), who sustained bruises and transferred to a hospital for treatment."
2021-08-08,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Tubas,32.3404,35.396,"On 8 August 2021, a group of Israeli settlers attacked Palestinian-owned passing vehicles near the military checkpoint of Tayasir on the outskirt of Tayasir village (Tubas). The windows of two vehicles were shattered."
2021-08-09,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Farmers (Palestine),0.0,Rioters-Civilians,West Bank,Bethlehem,31.6108,35.2245,"On 9 August 2021, a group of Israeli settlers from the settlement of Ibei Hanahal physically assaulted Palestinian farmers in Kisan village (Bethlehem) while working on their lands."
2021-08-09,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Jericho,31.8683,35.4396,"Land seizure: On 9 August 2021, a group of Israeli settlers from the settlement of Mevo'ot set up a caravan and two tents on Palestinian-owned land that had been confiscated in the north of Ayn ad Duyuk at Tahta village (Jericho), as an attempt to establish a new outpost in the area."
2021-08-10,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Tulkarm,32.2516,35.0619,"On 10 August 2021, a group of Israeli settlers physically assaulted a Palestinian in Al Ras village (Tulkarm)."
2021-08-11,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Hebron,31.5294,35.0938,"On 11 August 2021, a group of Israeli settlers from Ramat Yeshai settlement physically assaulted Palestinians in Tel Rumeida in the city of Hebron (Hebron)."
2021-08-12,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Ramallah and Al Bireh,31.9523,35.1507,"Property destruction: On 12 August 2021, a group of Israeli settlers razed Palestinian lands (35 Dunams) in Al Mazraah al Qibliyah village (Ramallah and Al Bireh)."
2021-08-14,Settlers (Israel),Military Forces of Israel (2021-2022),Civilians (Palestine),Women (Palestine),0.0,Political militia-Civilians,West Bank,Hebron,31.5278,35.1014,"On 14 August 2021, a group of Israeli armed settlers from Kiryat Arba who were under the protection of Israeli military forces hurled stones at Palestinian-owned houses in Hebron - Bab az Zawiyah (Hebron). They also physically assaulted a Palestinian woman who had sustained bruises and was transferred to a hospital for treatment."
2021-08-15,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.5755,35.0122,"Land seizure: On 15 August 2021, Israeli settlers from Adora set up tents and caravans on Palestinian-owned lands consist of 60 Dunams in Tarqumya town (Hebron) to expand Israeli settlements."
2021-08-15,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.2756,35.1987,"On 15 August 2021, Israeli settlers from Shavei Shomron closed the road that links Jenin and Nablus, near Sabastiyah village (Nablus), and hurled stones at Palestinian passing vehicles, causing damage to some cars. One Palestinian was injured."
2021-08-15,Settlers (Israel),Military Forces of Israel (2021-2022),Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.3705,34.9961,"Land seizure: On 15 August 2021, Israeli settlers under the protection of military forces established a new outpost at Palestinian-owned lands in the village Khirbat Zanutah (Hebron). Settlers set up 20 mobile caravans on an area of 20 Dunams as a step to seize additional Palestine lands in the area."
2021-08-17,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Jenin,32.3175,35.1872,"On 17 August 2021, a group of Israeli settlers severely beat up a Palestinian child who was hiking in Silat al Dahr village (Jenin), the child was injured and transferred to hospital for treatment."
2021-08-20,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Tubas,32.3425,35.5114,"Land seizure: On 20 August 2021, Israeli settlers constructed a new road into Palestinian-owned lands in Al Faw area near Al Farsiyah (Tubas)."
2021-08-22,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Qalqilya,32.1834,35.0907,"On 22 August 2021, a group of Israeli settlers hurled stones at Palestinian passing cars near Kafr Laqif village (Qalqilya), causing damage to the car's glass."
2021-08-23,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Salfit,32.131,35.1396,"Land seizure: On 23 August 2021, a group of settlers from Yakir and Yair Farm constructed two caravans on Palestinian-owned lands in Dayr Istiya village (Salfit)."
2021-08-27,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Ramallah and Al Bireh,31.9273,35.0952,"On 27 August 2021, two Israeli settlers physically assaulted Palestinians who were sitting in their lands in Kafr Nimah village (Ramallah and Al Bireh)."
2021-08-28,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.2173,35.3213,"Land seizure: On 28 August 2021, a group of Israeli settlers from Elon More settlement planted grape seedlings on Palestinian-owned land (estimated 24 dunums) in Dayr al Hatab village (Nablus), intending to seize the land by changing facts on the ground."
2021-08-28,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Hebron,31.5294,35.0938,"On 28 August 2021, a group of Israeli settlers attacked Palestinian-owned cars [presumably by stone throwing] and smashed the windows of 9 cars while passing in Jaber neighborhood in Hebron (West Bank). One Palestinian civilian was injured."
2021-09-01,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Hebron,31.5755,35.0122,"On 1 September 2021, a group of Israeli settlers from Adora settlement raided the village of Tarqumya (Hebron) and assaulted [presumably physically] Palestinians."
2021-09-02,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.5283,35.1189,"On 2 September 2021, an Israeli settler rammed his car into a Palestinian child near Kiryat Arba (Hebron). The child was wounded and taken to a hospital for treatment."
2021-09-02,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.1845,35.2502,"On 2 September 2021, a group of Israeli settlers from Yitzhar settlement raided the village of Burin (Nablus) and smashed the windows of two cars and a house, and destroyed plants in the area to force the house residents to evacuate it."
2021-09-03,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Tubas,32.3243,35.5025,"Land seizure: On 3 September 2021, a group of Israeli settlers constructed a settlement road through Palestinian-owned lands in the Wadi Al-Faw area, south of Ain al Hilwah village (Tubas). The new road will benefit outposts established in the Abu Qandul area."
2021-09-05,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Tubas,32.2726,35.4932,"Land seizure: On 5 September 2021, Israeli settlers set up a prefabricated caravan and a tent on Palestinian-owned lands in Khirbet Mezokeh near Khirbet ar Ras al Ahmar (Tubas), in an attempt to establish a new settlement outpost."
2021-09-06,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.491,35.1467,"Property destruction: On 6 September 2021, Israeli settlers from Mitzpe Yair settlement damaged the tires of a Palestinian-owned water tanker in Birin (Hebron) to prevent delivering water to the village."
2021-09-06,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Salfit,32.0671,35.0828,"Land seizure: On 6 September 2021, a group of Israeli settlers erected a wire fence on Palestinian-owned lands in the Dahr Subuh area in Kafr ad Dik town (Salfit), in an attempt to seize the land."
2021-09-10,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.5294,35.0938,"On 10 September 2021, a group of Israeli settlers opened fire towards Palestinian houses in the old city of Hebron (Hebron). They also smashed several Palestinian-owned cars in the area. No casualties reported."
2021-09-10,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Al Quds,31.8495,35.2342,"On 10 September 2021, an Israeli settler opened fire towards 3 Palestinian children in Al Quds - Ar Ram (Al Quds). No casualties reported."
2021-09-11,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.1845,35.2502,"On 11 September 2021, a group of Israeli settlers from Yitzhar hurled stones at a Palestinian house in Burin village (Nablus). The windows were smashed, and 2 Palestinians were injured."
2021-09-14,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Hebron,31.5294,35.0938,"On 14 September 2021, a group of Israeli settlers physically assaulted two Palestinians in Hebron - old city (Hebron). They sustained bruises and were taken to a hospital for treatment."
2021-09-14,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Ramallah and Al Bireh,31.9333,35.2167,"On 14 September 2021, a group of Israeli settlers from Bayt El hurled stones at Palestinians passing in cars in Bayt El (Ramallah and Al Bireh), near the road that links the settlement with Mukhayyam al Jalazun ."
2021-09-17,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Al Quds,31.7684,35.2381,"On 17 September 2021, 3 settlers beat up and stabbed a Palestinian driver near Al Quds - Silwan (West Bank), causing his hospitalization."
2021-09-19,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Nablus,32.1845,35.2502,"On 19 September 2021, a group of Israeli settlers attacked a Palestinian-owned house [presumably with stones] in Burin village (Nablus, West Bank). There were no casualties."
