event_date,actor1,assoc_actor_1,actor2,assoc_actor_2,fatalities,interaction,admin1,admin2,latitude,longitude,notes
2016-06-16,Settlers (Israel),Military Forces of Israel (2009-2021),Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Nablus,32.2512,35.2672,"Land Seizure: Hundreds of Israeli settlers entered the area of Asira al-Shamaliya north of Nablus city in the northern West Bank, on June 16. They expelled Palestinian shepherds and farmers who were working the area. Israeli settlers occupied raided the are with the pretext that Jewish altar is located in the area making it a prayer site."
2016-06-17,Rioters (Israel),Settlers (Israel),Civilians (Palestine),,0.0,Rioters-Civilians,West Bank,Ramallah and Al Bireh,31.9167,35.2333,"On 17 June 2016, Israeli settler rioters threw rocks at passing Palestinian vehicles near Ofra settlement, causing damages to 5 Palestinian vehicles with no injuries."
2016-06-23,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Farmers (Palestine),0.0,Rioters-Civilians,West Bank,Nablus,32.1018,35.2894,"On 23 June 2016, Israeli settlers burned many agricultural fields near the Qabalan junction (Nablus, West Bank)."
2016-06-29,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Farmers (Palestine),0.0,Rioters-Civilians,West Bank,Bethlehem,31.7071,35.1041,"On 29 June 2016, settlers raided Palestinian lands in the village of Wadi Fukin in the central West Bank in the district of Bethlehem. They destroyed two greenhouses and teared up plants belonging to Palestinian owners."
2016-07-14,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Women (Palestine),0.0,Rioters-Civilians,West Bank,Salfit,32.1591,35.1064,"Thursday 14th of July 2016, a Palestinian woman was injured when settlers started rock-throwing at vehicles passing by Wadi Qana."
2016-07-18,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Hebron,31.4459,35.0944,"Monday 18th of July 2016, an Israeli settler allegedly rammed his car into Palestinian boy in Yuta town, south of Hebron city. This was reported as an intentional attack, and the child was hospitalized."
2016-07-20,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Nablus,32.0563,35.3671,"On 20 July 2016, a group of Israeli settlers set fire to a house inhabited by Palestinians by throwing molotov cocktails. The family was able to evacuate and no fatalities were reported. The perpetrators were not identified."
2016-07-22,Unidentified Armed Group (Palestine),,Civilians (Palestine),Settlers (Israel),0.0,Political militia-Civilians,West Bank,Bethlehem,31.6976,35.2289,"On 22 July 2016, unidentified gunmen who were believed to be Palestinians fired at a settler's vehicle in the Har Homa settlemet near the Beit Sahour area of Bethlehem, West Bank. The vehicle was damaged but there were no reported injuries."
2016-07-23,Rioters (Israel),Settlers (Israel),Civilians (Palestine),Farmers (Palestine),0.0,Rioters-Civilians,West Bank,Bethlehem,31.6941,35.1669,"Saturday 23rd of July 2016, Israeli settlers physically assaulted a number of Palestinian farmers in the town of al-Khader to the south of Bethlehem. Neither serious injuries not fatalities were reported."
2016-08-12,Settlers (Israel),,Civilians (Palestine),Farmers (Palestine),0.0,Political militia-Civilians,West Bank,Hebron,31.3967,35.0661,"On 12 August 2016, an Israeli settler ran over and injured a Palestinian shepherd near As Samu village. The source claimed this to have been car ramming 'attack'."
2016-08-30,Settlers (Israel),,Civilians (Palestine),,0.0,Political militia-Civilians,West Bank,Salfit,32.131,35.1396,"Tuesday 30th of August 2016, An elderly Palestinian sustained serious to moderate injuries after an Israeli settler unleashed his dogs on him."
